id,team,image,price,onSale,onSalePrice,kind,continent
1,Argentina,argentina.png,89.0,0,89.0,national,americas
2,Brazil,brasil.jpg,89.0,0,89.0,national,americas
3,Peru,peru.jpg,79.0,1,69.0,national,americas
4,France,france.jpg,89.0,0,89.0,national,europe
5,Mexico,mexico.jpg,79.0,0,79.0,national,americas
6,Spain,spain.jpg,79.0,0,79.0,national,europe
7,Senegal,senegal.jpg,79.0,0,79.0,national,africa
8,Belgium,belgium.png,89.0,1,79.0,national,europe
9,Colombia,colombia.jpg,69.0,0,69.0,national,americas
10,Costa Rica,costarica.jpg,69.0,0,69.0,national,americas
11,Croatia,croacia.jpg,79.0,1,69.0,national,europe
12,Egypt,egypt.jpg,79.0,1,69.0,national,africa
13,England,england.jpg,79.0,0,79.0,national,europe
14,Germany,germany.png,79.0,1,69.0,national,europe
15,Iceland,iceland.jpg,79.0,0,79.0,national,europe
16,Sweden,sweden.jpg,79.0,0,79.0,national,europe
17,Uruguay,uruguay.png,79.0,1,69.0,national,americas
18,River Plate,rp.png,79.0,0,79.0,club,americas
19,Boca Juniors,bj.jpg,69.0,1,9.99,club,americas
20,FC Barcelona,fcb.jpg,89.0,0,89.0,club,europe
21,Real Madrid,rm.png,89.0,0,89.0,club,europe
22,Juventus,juv.jpg,79.0,0,79.0,club,europe
23,Milan,mil.png,79.0,1,59.0,club,europe
24,Manchester City,mc.jpg,79.0,0,79.0,club,europe
25,Manchester United,mu.png,79.0,1,69.0,club,europe
26,Flamengo,fla.png,59.0,0,59.0,club,americas
27,Corinthians,cor.png,69.0,0,69.0,club,americas
